source_match_id,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,total_goals,goal_difference,data_split
1999_06_27_gotland_hitra_island_games,1999-06-27,Gotland,Hitra,12,1,Island Games,Gutavallen,Sweden,FALSE,13,11,train
2001_04_10_haiti_united_states_virgin_islands_cfu_caribbean_cup_qualification,2001-04-10,Haiti,United States Virgin Islands,12,1,CFU Caribbean Cup qualification,Port-au-Prince,Haiti,FALSE,13,11,train
2007_08_25_solomon_islands_american_samoa_south_pacific_games,2007-08-25,Solomon Islands,American Samoa,12,1,South Pacific Games,Apia,Samoa,TRUE,13,11,train
1912_07_14_russia_hungary_friendly,1912-07-14,Russia,Hungary,0,12,Friendly,Moscow,Russia,FALSE,12,-12,train
1917_10_07_denmark_norway_friendly,1917-10-07,Denmark,Norway,12,0,Friendly,Copenhagen,Denmark,FALSE,12,12,train
1927_05_29_sweden_latvia_friendly,1927-05-29,Sweden,Latvia,12,0,Friendly,Stockholm,Sweden,FALSE,12,12,train
1942_01_22_argentina_ecuador_copa_am_rica,1942-01-22,Argentina,Ecuador,12,0,Copa América,Montevideo,Uruguay,TRUE,12,12,train
1942_08_10_japan_mongolia_friendly,1942-08-10,Japan,Mongolia,12,0,Friendly,Xinjing,Manchuria,TRUE,12,12,train
1946_06_28_norway_finland_friendly,1946-06-28,Norway,Finland,12,0,Friendly,Bergen,Norway,FALSE,12,12,train
1946_12_10_costa_rica_puerto_rico_central_american_and_caribbean_games,1946-12-10,Costa Rica,Puerto Rico,12,0,Central American and Caribbean Games,Barranquilla,Colombia,TRUE,12,12,train
1950_09_24_hungary_albania_friendly,1950-09-24,Hungary,Albania,12,0,Friendly,Budapest,Hungary,FALSE,12,12,train
1962_10_15_malawi_ghana_friendly,1962-10-15,Malawi,Ghana,0,12,Friendly,Blantyre,Nyasaland,FALSE,12,-12,train
1969_05_21_germany_cyprus_fifa_world_cup_qualification,1969-05-21,Germany,Cyprus,12,0,FIFA World Cup qualification,Essen,Germany,FALSE,12,12,train
1978_04_01_guernsey_alderney_muratti_vase,1978-04-01,Guernsey,Alderney,12,0,Muratti Vase,Guernsey,Guernsey,FALSE,12,12,train
1979_08_31_solomon_islands_samoa_south_pacific_games,1979-08-31,Solomon Islands,Samoa,12,0,South Pacific Games,Suva,Fiji,TRUE,12,12,train
1993_12_13_fiji_guam_south_pacific_mini_games,1993-12-13,Fiji,Guam,12,0,South Pacific Mini Games,Port Vila,Vanuatu,TRUE,12,12,train
1994_03_04_jamaica_british_virgin_islands_cfu_caribbean_cup_qualification,1994-03-04,Jamaica,British Virgin Islands,12,0,CFU Caribbean Cup qualification,George Town,Cayman Islands,TRUE,12,12,train
1997_05_11_guam_japan_east_asian_games,1997-05-11,Guam,Japan,0,12,East Asian Games,Busan,South Korea,TRUE,12,-12,train
1997_06_04_syria_maldives_fifa_world_cup_qualification,1997-06-04,Syria,Maldives,12,0,FIFA World Cup qualification,Damascus,Syria,FALSE,12,12,train
1997_06_09_maldives_syria_fifa_world_cup_qualification,1997-06-09,Maldives,Syria,0,12,FIFA World Cup qualification,Tehran,Iran,TRUE,12,-12,train
1998_09_07_tahiti_american_samoa_oceania_nations_cup_qualification,1998-09-07,Tahiti,American Samoa,12,0,Oceania Nations Cup qualification,Avarua,Cook Islands,TRUE,12,12,train
2001_04_14_brunei_united_arab_emirates_fifa_world_cup_qualification,2001-04-14,Brunei,United Arab Emirates,0,12,FIFA World Cup qualification,Bandar Seri Begawan,Brunei,FALSE,12,-12,train
2001_04_30_oman_laos_fifa_world_cup_qualification,2001-04-30,Oman,Laos,12,0,FIFA World Cup qualification,Muscat,Oman,FALSE,12,12,train
2001_04_30_syria_philippines_fifa_world_cup_qualification,2001-04-30,Syria,Philippines,12,0,FIFA World Cup qualification,Aleppo,Syria,FALSE,12,12,train
2001_07_08_jersey_orkney_island_games,2001-07-08,Jersey,Orkney,12,0,Island Games,Douglas,Isle of Man,TRUE,12,12,train
2003_07_05_fiji_kiribati_south_pacific_games,2003-07-05,Fiji,Kiribati,12,0,South Pacific Games,Nausori,Fiji,FALSE,12,12,train
2003_12_03_maldives_mongolia_fifa_world_cup_qualification,2003-12-03,Maldives,Mongolia,12,0,FIFA World Cup qualification,Malé,Maldives,FALSE,12,12,train
2004_11_24_jamaica_saint_martin_cfu_caribbean_cup_qualification,2004-11-24,Jamaica,Saint Martin,12,0,CFU Caribbean Cup qualification,Kingston,Jamaica,FALSE,12,12,train
2008_02_06_el_salvador_anguilla_fifa_world_cup_qualification,2008-02-06,El Salvador,Anguilla,12,0,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,12,12,train
2009_08_27_hong_kong_guam_eaff_championship,2009-08-27,Hong Kong,Guam,12,0,EAFF Championship,Kaohsiung,Taiwan,TRUE,12,12,train
2013_07_15_greenland_fr_ya_island_games,2013-07-15,Greenland,Frøya,12,0,Island Games,Hamilton,Bermuda,TRUE,12,12,train
2014_06_05_darfur_artsakh_conifa_world_football_cup,2014-06-05,Darfur,Artsakh,0,12,CONIFA World Football Cup,Östersund,Sweden,TRUE,12,-12,train
2015_11_12_china_pr_bhutan_fifa_world_cup_qualification,2015-11-12,China PR,Bhutan,12,0,FIFA World Cup qualification,Changsha,China PR,FALSE,12,12,train
2016_05_30_chagos_islands_western_armenia_conifa_world_football_cup,2016-05-30,Chagos Islands,Western Armenia,0,12,CONIFA World Football Cup,Sukhumi,Georgia,TRUE,12,-12,train
2018_10_12_bermuda_sint_maarten_concacaf_nations_league_qualification,2018-10-12,Bermuda,Sint Maarten,12,0,CONCACAF Nations League qualification,Hamilton,Bermuda,FALSE,12,12,test
1888_03_03_wales_northern_ireland_british_home_championship,1888-03-03,Wales,Northern Ireland,11,0,British Home Championship,Wrexham,Wales,FALSE,11,11,train
