source,raw_file,source_shootout_id,source_match_key,date,home_team,away_team,winner,first_shooter,match_found_in_results,notes
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1982_07_08_germany_france_shootout_001,1982_07_08_germany_france,1982-07-08,Germany,France,Germany,France,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1982_10_17_indonesia_malaysia_shootout_001,1982_10_17_indonesia_malaysia,1982-10-17,Indonesia,Malaysia,Indonesia,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1982_11_27_uganda_kenya_shootout_001,1982_11_27_uganda_kenya,1982-11-27,Uganda,Kenya,Kenya,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_02_06_senegal_niger_shootout_001,1983_02_06_senegal_niger,1983-02-06,Senegal,Niger,Senegal,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_02_20_gambia_sierra_leone_shootout_001,1983_02_20_gambia_sierra_leone,1983-02-20,Gambia,Sierra Leone,Gambia,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_02_27_mali_guinea_shootout_001,1983_02_27_mali_guinea,1983-02-27,Mali,Guinea,Mali,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_04_22_egypt_congo_shootout_001,1983_04_22_egypt_congo,1983-04-22,Egypt,Congo,Egypt,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_04_24_mauritius_ethiopia_shootout_001,1983_04_24_mauritius_ethiopia,1983-04-24,Mauritius,Ethiopia,Ethiopia,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_06_04_thailand_malaysia_shootout_001,1983_06_04_thailand_malaysia,1983-06-04,Thailand,Malaysia,Thailand,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_07_18_hong_kong_thailand_shootout_001,1983_07_18_hong_kong_thailand,1983-07-18,Hong Kong,Thailand,Thailand,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_08_28_morocco_nigeria_shootout_001,1983_08_28_morocco_nigeria,1983-08-28,Morocco,Nigeria,Nigeria,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_12_15_ivory_coast_mali_shootout_001,1983_12_15_ivory_coast_mali,1983-12-15,Ivory Coast,Mali,Ivory Coast,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1983_12_18_mali_nigeria_shootout_001,1983_12_18_mali_nigeria,1983-12-18,Mali,Nigeria,Mali,NA,TRUE,NA
international_results,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/international_results/shootouts.csv,1984_02_16_sierra_leone_mali_shootout_001,1984_02_16_sierra_leone_mali,1984-02-16,Sierra Leone,Mali,Sierra Leone,NA,TRUE,NA
