source,raw_file,source_match_id,date,season,competition,home_team,away_team,home_score,away_score,competition_id,season_id,match_week,competition_country,stadium,data_version,shot_fidelity_version,xy_fidelity_version,match_result,result_class,home_win,draw,away_win,goal_difference,total_goals,neutral
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901238,2016-04-30,2015/2016,Ligue 1,AS Monaco,Guingamp,3,2,7,27,36,France,Stade Louis II,1.1.0,2,2,H,1,1,0,0,1,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901237,2016-04-30,2015/2016,Ligue 1,Saint-Étienne,Toulouse,0,0,7,27,36,France,Stade Geoffroy-Guichard ,1.1.0,2,2,D,0,0,1,0,0,0,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901236,2016-04-30,2015/2016,Ligue 1,Nantes,OGC Nice,1,0,7,27,36,France,Stade de la Beaujoire - Louis Fonteneau,1.1.0,2,2,H,1,1,0,0,1,1,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901235,2016-04-30,2015/2016,Ligue 1,Lyon,Gazélec Ajaccio,2,1,7,27,36,France,Groupama Stadium,1.1.0,2,2,H,1,1,0,0,1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901234,2016-04-30,2015/2016,Ligue 1,Stade de Reims,Montpellier,2,3,7,27,36,France,Stade Auguste-Delaune II ,1.1.0,2,2,A,-1,0,0,1,-1,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901233,2016-04-29,2015/2016,Ligue 1,Paris Saint-Germain,Rennes,4,0,7,27,36,France,Parc des Princes ,1.1.0,2,2,H,1,1,0,0,4,4,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901232,2016-04-27,2015/2016,Ligue 1,Lille,Angers,0,0,7,27,35,France,Decathlon Arena – Stade Pierre-Mauroy,1.1.0,2,2,D,0,0,1,0,0,0,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901231,2016-04-24,2015/2016,Ligue 1,Rennes,AS Monaco,1,1,7,27,35,France,NA,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901230,2016-04-24,2015/2016,Ligue 1,Gazélec Ajaccio,Bastia,3,2,7,27,35,France,Stade Ange Casanova (Ajaccio),1.1.0,2,2,H,1,1,0,0,1,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901229,2016-04-24,2015/2016,Ligue 1,Guingamp,Stade Malherbe Caen,1,1,7,27,35,France,Stade du Roudourou,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901228,2016-04-24,2015/2016,Ligue 1,Saint-Étienne,Lorient,2,0,7,27,35,France,Stade Geoffroy-Guichard ,1.1.0,2,2,H,1,1,0,0,2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901227,2016-04-24,2015/2016,Ligue 1,Olympique de Marseille,Nantes,1,1,7,27,35,France,Orange Vélodrome,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901226,2016-04-24,2015/2016,Ligue 1,Montpellier,Troyes,4,1,7,27,35,France,Stade de la Mosson ,1.1.0,2,2,H,1,1,0,0,3,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901225,2016-04-23,2015/2016,Ligue 1,Toulouse,Lyon,2,3,7,27,35,France,Stadium de Toulouse,1.1.0,2,2,A,-1,0,0,1,-1,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901224,2016-04-22,2015/2016,Ligue 1,OGC Nice,Stade de Reims,2,0,7,27,35,France,Allianz Riviera ,1.1.0,2,2,H,1,1,0,0,2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901223,2016-04-17,2015/2016,Ligue 1,AS Monaco,Olympique de Marseille,2,1,7,27,34,France,Stade Louis II,1.1.0,2,2,H,1,1,0,0,1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901222,2016-04-17,2015/2016,Ligue 1,Nantes,Montpellier,0,2,7,27,34,France,Stade de la Beaujoire - Louis Fonteneau,1.1.0,2,2,A,-1,0,0,1,-2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901221,2016-04-17,2015/2016,Ligue 1,Rennes,Guingamp,0,3,7,27,34,France,Roazhon Park,1.1.0,2,2,A,-1,0,0,1,-3,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901220,2016-04-16,2015/2016,Ligue 1,Bastia,Saint-Étienne,0,1,7,27,34,France,Stade Armand-Césari,1.1.0,2,2,A,-1,0,0,1,-1,1,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901219,2016-04-16,2015/2016,Ligue 1,Lorient,Toulouse,1,1,7,27,34,France,Stade Yves Allainmat - du Moustoir,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901218,2016-04-16,2015/2016,Ligue 1,Bordeaux,Angers,1,3,7,27,34,France,Stade Matmut Atlantique,1.1.0,2,2,A,-1,0,0,1,-2,4,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901217,2016-04-16,2015/2016,Ligue 1,Troyes,Stade de Reims,2,1,7,27,34,France,Stade de l''Aube,1.1.0,2,2,H,1,1,0,0,1,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901216,2016-04-16,2015/2016,Ligue 1,Paris Saint-Germain,Stade Malherbe Caen,6,0,7,27,34,France,Parc des Princes ,1.1.0,2,2,H,1,1,0,0,6,6,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901215,2016-04-16,2015/2016,Ligue 1,Gazélec Ajaccio,Lille,2,4,7,27,34,France,Stade Ange Casanova (Ajaccio),1.1.0,2,2,A,-1,0,0,1,-2,6,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901214,2016-04-15,2015/2016,Ligue 1,Lyon,OGC Nice,1,1,7,27,34,France,Groupama Stadium,1.1.0,2,2,D,0,0,1,0,0,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901213,2016-04-10,2015/2016,Ligue 1,OGC Nice,Rennes,3,0,7,27,33,France,Allianz Riviera ,1.1.0,2,2,H,1,1,0,0,3,3,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901212,2016-04-10,2015/2016,Ligue 1,Lille,AS Monaco,4,1,7,27,33,France,Decathlon Arena – Stade Pierre-Mauroy,1.1.0,2,2,H,1,1,0,0,3,5,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901211,2016-04-10,2015/2016,Ligue 1,Olympique de Marseille,Bordeaux,0,0,7,27,33,France,Orange Vélodrome,1.1.0,2,2,D,0,0,1,0,0,0,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901210,2016-04-09,2015/2016,Ligue 1,Saint-Étienne,Troyes,1,0,7,27,33,France,Stade Geoffroy-Guichard ,1.1.0,2,2,H,1,1,0,0,1,1,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901209,2016-04-09,2015/2016,Ligue 1,Angers,Gazélec Ajaccio,0,0,7,27,33,France,Stade Raymond-Kopa,1.1.0,2,2,D,0,0,1,0,0,0,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901208,2016-04-09,2015/2016,Ligue 1,Guingamp,Paris Saint-Germain,0,2,7,27,33,France,Stade du Roudourou,1.1.0,2,2,A,-1,0,0,1,-2,2,NA
StatsBomb Open Data,/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/matches/7_27.json,3901207,2016-04-09,2015/2016,Ligue 1,Stade de Reims,Nantes,2,1,7,27,33,France,Stade Auguste-Delaune II ,1.1.0,2,2,H,1,1,0,0,1,3,NA
