path,source_guess,dataset_guess,raw_or_processed,file_type,rows,columns,date_min,date_max,n_teams,n_competitions,file_size_bytes,modified_time,notes
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788766.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6091711,2026-05-28 13:08:20.69151,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788767.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6989631,2026-05-28 13:08:21.423871,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788768.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,9328164,2026-05-28 13:08:22.400142,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788769.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6340048,2026-05-28 13:08:22.963295,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788770.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8179317,2026-05-28 13:08:23.754385,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788771.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6725942,2026-05-28 13:08:24.387109,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788772.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6695535,2026-05-28 13:08:25.73688,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788773.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7088341,2026-05-28 13:08:25.667049,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788774.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7149243,2026-05-28 13:08:27.583956,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788775.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,7432868,2026-05-28 13:08:27.082456,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3788776.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,6110611,2026-05-28 13:08:28.122666,NA
/Users/marco/Documents/Projects/worldcup-forecast-r/data/raw/statsbomb_open/three-sixty/3794685.json,StatsBomb Open Data,statsbomb_360_raw,raw,json,NA,NA,NA,NA,NA,NA,8608896,2026-05-28 13:08:29.315135,NA
